Segment ID,Roadway Name,From,To,segment_average_sum
202,Main Street,Hoover Avenue,82 Drive,11459
646,ARTHUR KILL ROAD,WINANT PLACE,MANLEY STREET,6812
1416,BLOOMINGDALE ROAD,RAMONA AVENUE,HARGOLD AVENUE,9505
1421,BLOOMINGDALE ROAD,RAMONA AVENUE,SONIA COURT,10024
1883,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,9587
1884,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,10486
1885,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,9817
1886,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,9487
2147,HUGUENOT AVENUE,RATHBUN AVENUE,RAMONA AVENUE,10929
2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,10385
2367,ARTHUR KILL ROAD,MAZZA COURT,KRISSA COURT,13352
2369,ARTHUR KILL ROAD,CARLYLE GREEN,KRISSA COURT,13168
2760,WOODROW ROAD,DELMAR AVENUE,EVERTON AVENUE,4796
2870,WOODROW ROAD,BELFIELD AVENUE,EVERTON AVENUE,7569
2930,AMBOY ROAD,ROSE LANE,COLON STREET,NA
2933,AMBOY ROAD,ROSE LANE,ARBUTUS AVENUE,10415
2984,DRUMGOOLE ROAD WEST,LAMONT AVENUE,HEENAN AVENUE,1979
3017,ARDEN AVENUE,STAFFORD AVENUE,SINCLAIR AVENUE,14220
3115,ARDEN AVENUE,SINCLAIR AVENUE,SHELDON AVENUE,11090
3720,AMBOY ROAD,PRESTON AVENUE,BAMBERGER LANE,13826
4232,DRUMGOOLE ROAD EAST,BARLOW AVENUE,MONTEREY AVENUE,1646
4234,ANNADALE ROAD,LADD AVENUE,BERRY AVENUE,3687
4237,ANNADALE ROAD,WATKINS AVENUE,BERRY AVENUE,3659
4297,BARLOW AVENUE,POMPEY AVENUE,DRUMGOOLE ROAD EAST,724
4340,4th Ave,Senator St,68th St,14371
4832,VICTORY BOULEVARD,DINSMORE STREET,SIGNS ROAD,10319
4853,TRAVIS AVENUE,MULBERRY AVENUE,PARK DRIVE NORTH,12893
4876,VICTORY BOULEVARD,GRAHAM AVENUE,DINSMORE STREET,NA
5520,RICHMOND AVENUE,AKRON STREET,JARDINE AVENUE,NA
6644,RICHMOND HILL ROAD,EDINBORO ROAD,FOREST HILL ROAD,16692
7431,RICHMOND ROAD,NADINE STREET,BISHOP STREET,13974
7453,Richmond Road,Morley Avenue,Rockland Avenue,14393
7564,MORLEY AVENUE,DALTON  AVENUE,EBONY STREET,13147
7886,WILLOWBROOK ROAD,SENECA LOOP,COLLFIELD AVENUE,1775
8070,ROCKLAND AVENUE,MANOR ROAD,BRIELLE AVENUE,15748
8119,BRADLEY AVENUE,HOLDEN BOULEVARD,QUEEN STREET,11082
8152,BRIELLE AVENUE,SUFFOLK AVENUE,LIVINGSTON AVENUE,6879
8288,RICHMOND AVENUE,HILLMAN AVENUE,AKRON STREET,24067
8494,Forest Ave,Eunice Place,Simonson Ave,NA
9661,POST AVENUE,GREENLEAF AVENUE,DRIPROCK STREET,NA
9788,Forest Ave,Raymond Place,Manor Rd,NA
9896,RICHMOND TERRACE,WRIGHT AVENUE,EMERIC COURT,12907
9922,Richmond Ter,Houseman Ave,Wright Ave,NA
10143,CASTLETON AVENUE,RECTOR STREET,JEWETT AVENUE,NA
10164,Richmond Terrace,Rector Street,Jewett Avenue,14080
10188,CASTLETON AVENUE,CLOVE ROAD,RECTOR STREET,11881
10196,Richmond Ter,Clove Rd,Rector St,NA
10335,AMBOY ROAD,DALE AVENUE,BISHOP STREET,14885
11273,MANOR RD,LINCOLN ST,CROAK AVE,NA
11362,TODT HILL RD,TILLMAN ST,LINCOLN ST,NA
11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,NA
11599,OCEAN TERRACE,BUTTERWORTH AVENUE,COVERLY AVENUE,6802
12198,TARGEE ST,NAPLES ST,VENICE ST,NA
12215,TARGEE STREET,HAY STREET,NAPLES STREET,13099
12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NA
12806,Milford Drive,Ocean Terrace,Renwick Avenue,7545
12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,NA
12829,VICTORY BOULEVARD,CYPRESS AVENUE,MARX STREET,NA
12832,VICTORY BOULEVARD,MARX STREET,RENWICK AVENUE,13948
12945,LITTLE CLOVE RD,CAYUGA AVENUE,RENWICK AVENUE,6310
12946,OCEAN TERRACE,WITTEMAN PLACE,MILFORD DRIVE,5541
13103,Little Clove Road,Cayuga Avenue,Seneca Avenue,4990
13120,NARROWS ROAD NORTH,CLOVE ROAD,LITTLE CLOVE ROAD,13562
13133,CLOVE RD,HOWARD AVENUE,LITTLE CLOVE ROAD,31342
13277,Richmond Rd,Baltic Ave,Roosevelt St,NA
14422,HYLAN BOULEVARD,NARROWS ROAD SOUTH,OLGA PLACE,9231
14602,HYLAN BOULEVARD,FINGERBOARD ROAD,RODERICK AVENUE,6946
14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,NA
15047,CLOVE RD,NECKAR AVE,WESER AVE,NA
15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NA
15542,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,NA
15741,BAY ST,CLINTON ST,BALTIC ST,NA
17319,86 STREET,7 AVENUE,14 AVENUE,22927
17414,7 Avenue,68 Street,67 Street,4227
